Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0	1,48783	0	3,31736
2,00E-06	3,97832	2,00E-06	4,78165
4,00E-06	4,94592	4,00E-06	4,42218
6,00E-06	4,02856	6,00E-06	2,37489
8,00E-06	1,56287	8,00E-06	-0,577789
1,00E-05	-1,49963	1,00E-05	-3,31368
1,20E-05	-4,00909	1,20E-05	-4,80241
1,40E-05	-5,02015	1,40E-05	-4,47645
1,60E-05	-4,13696	1,60E-05	-2,46044
1,80E-05	-1,70287	1,80E-05	0,487065
2,00E-05	1,36639	2,00E-05	3,24392
2,20E-05	3,90552	2,20E-05	4,7707
2,40E-05	4,9514	2,40E-05	4,48241
2,60E-05	4,09524	2,60E-05	2,4902
2,80E-05	1,68334	2,80E-05	-0,449916
3,00E-05	-1,37981	3,00E-05	-3,21351
3,20E-05	-3,93372	3,20E-05	-4,76892
3,40E-05	-5,01564	3,40E-05	-4,52187
3,60E-05	-4,20718	3,60E-05	-2,56094
3,80E-05	-1,81335	3,80E-05	0,3695
4,00E-05	1,24754	4,00E-05	3,15276
4,20E-05	3,82435	4,20E-05	4,74589
4,40E-05	4,94624	4,40E-05	4,53169
4,60E-05	4,16707	4,60E-05	2,59907
4,80E-05	1,80091	4,80E-05	-0,325909
5,00E-05	-1,25935	5,00E-05	-3,1172
5,20E-05	-3,85351	5,20E-05	-4,7396
5,40E-05	-4,99986	5,40E-05	-4,56632
5,60E-05	-4,27063	5,60E-05	-2,66594
5,80E-05	-1,92512	5,80E-05	0,247103
6,00E-05	1,12675	6,00E-05	3,05968
6,20E-05	3,75027	6,20E-05	4,71239
6,40E-05	4,93594	6,40E-05	4,57775
6,60E-05	4,23632	6,60E-05	2,70311
6,80E-05	1,91879	6,80E-05	-0,201901
7,00E-05	-1,13824	7,00E-05	-3,02315
7,20E-05	-3,77106	7,20E-05	-4,70385
7,40E-05	-4,99986	7,40E-05	-4,61044
7,60E-05	-4,33763	7,60E-05	-2,76547
7,80E-05	-2,04977	7,80E-05	0,126316
8,00E-05	1,00597	8,00E-05	2,96176
8,20E-05	3,67167	8,20E-05	4,67857
